Year,Series,Sexua,Cobertura,Residencia,Discapacidad,Lurraldea,Eskualdea,Udalerria,Units,GeoCode,Value
2011,EU_COV_DIA,,,,PD,,,Lizartza,PLAZA,Lizartza,0.0
2019,EU_COV_DIA,,,,PD,,,Loiu,PLAZA,Loiu,0.0
2014,EU_COV_DIA,,,,PD,,,Loiu,PLAZA,Loiu,0.0
2013,EU_COV_DIA,,,,PD,,,Loiu,PLAZA,Loiu,0.0
2018,EU_COV_DIA,,,,PD,,,Loiu,PLAZA,Loiu,0.0
2010,EU_COV_DIA,,,,PD,,,Loiu,PLAZA,Loiu,0.0
2015,EU_COV_DIA,,,,PD,,,Loiu,PLAZA,Loiu,0.0
2017,EU_COV_DIA,,,,PD,,,Loiu,PLAZA,Loiu,0.0
2011,EU_COV_DIA,,,,PD,,,Loiu,PLAZA,Loiu,0.0
2016,EU_COV_DIA,,,,PD,,,Loiu,PLAZA,Loiu,0.0
2018,EU_COV_DIA,,,,PD,,,Mallabia,PLAZA,Mallabia,0.0
2014,EU_COV_DIA,,,,PD,,,Mallabia,PLAZA,Mallabia,0.0
2015,EU_COV_DIA,,,,PD,,,Mallabia,PLAZA,Mallabia,0.0
2016,EU_COV_DIA,,,,PD,,,Mallabia,PLAZA,Mallabia,0.0
2017,EU_COV_DIA,,,,PD,,,Mallabia,PLAZA,Mallabia,0.0
2019,EU_COV_DIA,,,,PD,,,Mallabia,PLAZA,Mallabia,0.0
2010,EU_COV_DIA,,,,PD,,,Mallabia,PLAZA,Mallabia,0.0
2011,EU_COV_DIA,,,,PD,,,Mallabia,PLAZA,Mallabia,0.0
2013,EU_COV_DIA,,,,PD,,,Mallabia,PLAZA,Mallabia,0.0
2019,EU_COV_DIA,,,,PD,,,Mañaria,PLAZA,Mañaria,0.0
2013,EU_COV_DIA,,,,PD,,,Mañaria,PLAZA,Mañaria,0.0
2011,EU_COV_DIA,,,,PD,,,Mañaria,PLAZA,Mañaria,0.0
2014,EU_COV_DIA,,,,PD,,,Mañaria,PLAZA,Mañaria,0.0
2018,EU_COV_DIA,,,,PD,,,Mañaria,PLAZA,Mañaria,0.0
2017,EU_COV_DIA,,,,PD,,,Mañaria,PLAZA,Mañaria,0.0
2015,EU_COV_DIA,,,,PD,,,Mañaria,PLAZA,Mañaria,0.0
2010,EU_COV_DIA,,,,PD,,,Mañaria,PLAZA,Mañaria,0.0
2016,EU_COV_DIA,,,,PD,,,Mañaria,PLAZA,Mañaria,0.0
2017,EU_COV_DIA,,,,PD,,,Markina-Xemein,PLAZA,Markina-Xemein,3.1
2011,EU_COV_DIA,,,,PD,,,Markina-Xemein,PLAZA,Markina-Xemein,3.1
2015,EU_COV_DIA,,,,PD,,,Markina-Xemein,PLAZA,Markina-Xemein,3.1
2019,EU_COV_DIA,,,,PD,,,Markina-Xemein,PLAZA,Markina-Xemein,3.0
2010,EU_COV_DIA,,,,PD,,,Markina-Xemein,PLAZA,Markina-Xemein,3.1
2016,EU_COV_DIA,,,,PD,,,Markina-Xemein,PLAZA,Markina-Xemein,3.0
2014,EU_COV_DIA,,,,PD,,,Markina-Xemein,PLAZA,Markina-Xemein,3.1
2013,EU_COV_DIA,,,,PD,,,Markina-Xemein,PLAZA,Markina-Xemein,3.0
2018,EU_COV_DIA,,,,PD,,,Markina-Xemein,PLAZA,Markina-Xemein,3.0
2018,EU_COV_DIA,,,,PD,,,Maruri-Jatabe,PLAZA,Maruri-Jatabe,0.0
2016,EU_COV_DIA,,,,PD,,,Maruri-Jatabe,PLAZA,Maruri-Jatabe,0.0
2011,EU_COV_DIA,,,,PD,,,Maruri-Jatabe,PLAZA,Maruri-Jatabe,0.0
2017,EU_COV_DIA,,,,PD,,,Maruri-Jatabe,PLAZA,Maruri-Jatabe,0.0
2019,EU_COV_DIA,,,,PD,,,Maruri-Jatabe,PLAZA,Maruri-Jatabe,0.0
2015,EU_COV_DIA,,,,PD,,,Maruri-Jatabe,PLAZA,Maruri-Jatabe,0.0
2014,EU_COV_DIA,,,,PD,,,Maruri-Jatabe,PLAZA,Maruri-Jatabe,0.0
2010,EU_COV_DIA,,,,PD,,,Maruri-Jatabe,PLAZA,Maruri-Jatabe,0.0
2013,EU_COV_DIA,,,,PD,,,Maruri-Jatabe,PLAZA,Maruri-Jatabe,0.0
2019,EU_COV_DIA,,,,PD,,,Mendaro,PLAZA,Mendaro,0.0
2014,EU_COV_DIA,,,,PD,,,Mendaro,PLAZA,Mendaro,0.0
2011,EU_COV_DIA,,,,PD,,,Mendaro,PLAZA,Mendaro,0.0
2018,EU_COV_DIA,,,,PD,,,Mendaro,PLAZA,Mendaro,0.0
2015,EU_COV_DIA,,,,PD,,,Mendaro,PLAZA,Mendaro,0.0
2017,EU_COV_DIA,,,,PD,,,Mendaro,PLAZA,Mendaro,0.0
2013,EU_COV_DIA,,,,PD,,,Mendaro,PLAZA,Mendaro,0.0
2016,EU_COV_DIA,,,,PD,,,Mendaro,PLAZA,Mendaro,0.0
2010,EU_COV_DIA,,,,PD,,,Mendaro,PLAZA,Mendaro,0.0
2011,EU_COV_DIA,,,,PD,,,Mendata,PLAZA,Mendata,0.0
2014,EU_COV_DIA,,,,PD,,,Mendata,PLAZA,Mendata,0.0
2015,EU_COV_DIA,,,,PD,,,Mendata,PLAZA,Mendata,0.0
2017,EU_COV_DIA,,,,PD,,,Mendata,PLAZA,Mendata,0.0
2010,EU_COV_DIA,,,,PD,,,Mendata,PLAZA,Mendata,0.0
2019,EU_COV_DIA,,,,PD,,,Mendata,PLAZA,Mendata,0.0
2013,EU_COV_DIA,,,,PD,,,Mendata,PLAZA,Mendata,0.0
2016,EU_COV_DIA,,,,PD,,,Mendata,PLAZA,Mendata,0.0
2018,EU_COV_DIA,,,,PD,,,Mendata,PLAZA,Mendata,0.0
2013,EU_COV_DIA,,,,PD,,,Mendexa,PLAZA,Mendexa,0.0
2015,EU_COV_DIA,,,,PD,,,Mendexa,PLAZA,Mendexa,0.0
2010,EU_COV_DIA,,,,PD,,,Mendexa,PLAZA,Mendexa,0.0
2014,EU_COV_DIA,,,,PD,,,Mendexa,PLAZA,Mendexa,0.0
2018,EU_COV_DIA,,,,PD,,,Mendexa,PLAZA,Mendexa,0.0
2019,EU_COV_DIA,,,,PD,,,Mendexa,PLAZA,Mendexa,0.0
2016,EU_COV_DIA,,,,PD,,,Mendexa,PLAZA,Mendexa,0.0
2017,EU_COV_DIA,,,,PD,,,Mendexa,PLAZA,Mendexa,0.0
2011,EU_COV_DIA,,,,PD,,,Mendexa,PLAZA,Mendexa,0.0
2016,EU_COV_DIA,,,,PD,,,Meñaka,PLAZA,Meñaka,0.0
2017,EU_COV_DIA,,,,PD,,,Meñaka,PLAZA,Meñaka,0.0
2010,EU_COV_DIA,,,,PD,,,Meñaka,PLAZA,Meñaka,0.0
2015,EU_COV_DIA,,,,PD,,,Meñaka,PLAZA,Meñaka,0.0
2013,EU_COV_DIA,,,,PD,,,Meñaka,PLAZA,Meñaka,0.0
2011,EU_COV_DIA,,,,PD,,,Meñaka,PLAZA,Meñaka,0.0
2018,EU_COV_DIA,,,,PD,,,Meñaka,PLAZA,Meñaka,0.0
2014,EU_COV_DIA,,,,PD,,,Meñaka,PLAZA,Meñaka,0.0
2019,EU_COV_DIA,,,,PD,,,Meñaka,PLAZA,Meñaka,0.0
2019,EU_COV_DIA,,,,PD,,,Moreda de Álava/Moreda Araba,PLAZA,Moreda de Álava/Moreda Araba,0.0
2014,EU_COV_DIA,,,,PD,,,Moreda de Álava/Moreda Araba,PLAZA,Moreda de Álava/Moreda Araba,0.0
