Year,Fuente de energía renovable,Units,Territorio,Comarca,Municipio,GeoCode,Value
2020,Hidroeléctrica,Watts per cápita,,,Kortezubi,Kortezubi,0.0
2021,Hidroeléctrica,Watts per cápita,,,Kortezubi,Kortezubi,0.0
2022,Hidroeléctrica,Watts per cápita,,,Kortezubi,Kortezubi,0.0
2010,Hidroeléctrica,Watts per cápita,,,Murueta,Murueta,0.0
2011,Hidroeléctrica,Watts per cápita,,,Murueta,Murueta,0.0
2012,Hidroeléctrica,Watts per cápita,,,Murueta,Murueta,0.0
2013,Hidroeléctrica,Watts per cápita,,,Murueta,Murueta,0.0
2014,Hidroeléctrica,Watts per cápita,,,Murueta,Murueta,0.0
2015,Hidroeléctrica,Watts per cápita,,,Murueta,Murueta,0.0
2016,Hidroeléctrica,Watts per cápita,,,Murueta,Murueta,0.0
2017,Hidroeléctrica,Watts per cápita,,,Murueta,Murueta,0.0
2018,Hidroeléctrica,Watts per cápita,,,Murueta,Murueta,0.0
2019,Hidroeléctrica,Watts per cápita,,,Murueta,Murueta,0.0
2020,Hidroeléctrica,Watts per cápita,,,Murueta,Murueta,0.0
2021,Hidroeléctrica,Watts per cápita,,,Murueta,Murueta,0.0
2022,Hidroeléctrica,Watts per cápita,,,Murueta,Murueta,0.0
2010,Hidroeléctrica,Watts per cápita,,,Nabarniz,Nabarniz,0.0
2011,Hidroeléctrica,Watts per cápita,,,Nabarniz,Nabarniz,0.0
2012,Hidroeléctrica,Watts per cápita,,,Nabarniz,Nabarniz,0.0
2013,Hidroeléctrica,Watts per cápita,,,Nabarniz,Nabarniz,0.0
2014,Hidroeléctrica,Watts per cápita,,,Nabarniz,Nabarniz,0.0
2015,Hidroeléctrica,Watts per cápita,,,Nabarniz,Nabarniz,0.0
2016,Hidroeléctrica,Watts per cápita,,,Nabarniz,Nabarniz,0.0
2017,Hidroeléctrica,Watts per cápita,,,Nabarniz,Nabarniz,0.0
2018,Hidroeléctrica,Watts per cápita,,,Nabarniz,Nabarniz,0.0
2019,Hidroeléctrica,Watts per cápita,,,Nabarniz,Nabarniz,0.0
2020,Hidroeléctrica,Watts per cápita,,,Nabarniz,Nabarniz,0.0
2021,Hidroeléctrica,Watts per cápita,,,Nabarniz,Nabarniz,0.0
2022,Hidroeléctrica,Watts per cápita,,,Nabarniz,Nabarniz,0.0
2010,Hidroeléctrica,Watts per cápita,,,Ajangiz,Ajangiz,0.0
2011,Hidroeléctrica,Watts per cápita,,,Ajangiz,Ajangiz,0.0
2012,Hidroeléctrica,Watts per cápita,,,Ajangiz,Ajangiz,0.0
2013,Hidroeléctrica,Watts per cápita,,,Ajangiz,Ajangiz,0.0
2014,Hidroeléctrica,Watts per cápita,,,Ajangiz,Ajangiz,0.0
2015,Hidroeléctrica,Watts per cápita,,,Ajangiz,Ajangiz,0.0
2016,Hidroeléctrica,Watts per cápita,,,Ajangiz,Ajangiz,0.0
2017,Hidroeléctrica,Watts per cápita,,,Ajangiz,Ajangiz,0.0
2018,Hidroeléctrica,Watts per cápita,,,Ajangiz,Ajangiz,0.0
2019,Hidroeléctrica,Watts per cápita,,,Ajangiz,Ajangiz,0.0
2020,Hidroeléctrica,Watts per cápita,,,Ajangiz,Ajangiz,0.0
2021,Hidroeléctrica,Watts per cápita,,,Ajangiz,Ajangiz,0.0
2022,Hidroeléctrica,Watts per cápita,,,Ajangiz,Ajangiz,0.0
2010,Hidroeléctrica,Watts per cápita,,,Zierbena,Zierbena,0.0
2011,Hidroeléctrica,Watts per cápita,,,Zierbena,Zierbena,0.0
2012,Hidroeléctrica,Watts per cápita,,,Zierbena,Zierbena,0.0
2013,Hidroeléctrica,Watts per cápita,,,Zierbena,Zierbena,0.0
2014,Hidroeléctrica,Watts per cápita,,,Zierbena,Zierbena,0.0
2015,Hidroeléctrica,Watts per cápita,,,Zierbena,Zierbena,0.0
2016,Hidroeléctrica,Watts per cápita,,,Zierbena,Zierbena,0.0
2017,Hidroeléctrica,Watts per cápita,,,Zierbena,Zierbena,0.0
2018,Hidroeléctrica,Watts per cápita,,,Zierbena,Zierbena,0.0
2019,Hidroeléctrica,Watts per cápita,,,Zierbena,Zierbena,0.0
2020,Hidroeléctrica,Watts per cápita,,,Zierbena,Zierbena,0.0
2021,Hidroeléctrica,Watts per cápita,,,Zierbena,Zierbena,0.0
2022,Hidroeléctrica,Watts per cápita,,,Zierbena,Zierbena,0.0
2010,Hidroeléctrica,Watts per cápita,,,Arratzu,Arratzu,0.0
2011,Hidroeléctrica,Watts per cápita,,,Arratzu,Arratzu,0.0
2012,Hidroeléctrica,Watts per cápita,,,Arratzu,Arratzu,0.0
2013,Hidroeléctrica,Watts per cápita,,,Arratzu,Arratzu,0.0
2014,Hidroeléctrica,Watts per cápita,,,Arratzu,Arratzu,0.0
2015,Hidroeléctrica,Watts per cápita,,,Arratzu,Arratzu,0.0
2016,Hidroeléctrica,Watts per cápita,,,Arratzu,Arratzu,0.0
2017,Hidroeléctrica,Watts per cápita,,,Arratzu,Arratzu,0.0
2018,Hidroeléctrica,Watts per cápita,,,Arratzu,Arratzu,0.0
2019,Hidroeléctrica,Watts per cápita,,,Arratzu,Arratzu,0.0
2020,Hidroeléctrica,Watts per cápita,,,Arratzu,Arratzu,0.0
2021,Hidroeléctrica,Watts per cápita,,,Arratzu,Arratzu,0.0
2022,Hidroeléctrica,Watts per cápita,,,Arratzu,Arratzu,0.0
2010,Hidroeléctrica,Watts per cápita,,,Ziortza-Bolibar,Ziortza-Bolibar,0.0
2011,Hidroeléctrica,Watts per cápita,,,Ziortza-Bolibar,Ziortza-Bolibar,0.0
2012,Hidroeléctrica,Watts per cápita,,,Ziortza-Bolibar,Ziortza-Bolibar,0.0
2013,Hidroeléctrica,Watts per cápita,,,Ziortza-Bolibar,Ziortza-Bolibar,0.0
2014,Hidroeléctrica,Watts per cápita,,,Ziortza-Bolibar,Ziortza-Bolibar,0.0
2015,Hidroeléctrica,Watts per cápita,,,Ziortza-Bolibar,Ziortza-Bolibar,0.0
2016,Hidroeléctrica,Watts per cápita,,,Ziortza-Bolibar,Ziortza-Bolibar,0.0
2017,Hidroeléctrica,Watts per cápita,,,Ziortza-Bolibar,Ziortza-Bolibar,0.0
2018,Hidroeléctrica,Watts per cápita,,,Ziortza-Bolibar,Ziortza-Bolibar,0.0
2019,Hidroeléctrica,Watts per cápita,,,Ziortza-Bolibar,Ziortza-Bolibar,0.0
2020,Hidroeléctrica,Watts per cápita,,,Ziortza-Bolibar,Ziortza-Bolibar,0.0
2021,Hidroeléctrica,Watts per cápita,,,Ziortza-Bolibar,Ziortza-Bolibar,0.0
2022,Hidroeléctrica,Watts per cápita,,,Ziortza-Bolibar,Ziortza-Bolibar,0.0
2010,Hidroeléctrica,Watts per cápita,,,,ES21,788.78
2011,Hidroeléctrica,Watts per cápita,,,,ES21,786.05
2012,Hidroeléctrica,Watts per cápita,,,,ES21,792.87
2013,Hidroeléctrica,Watts per cápita,,,,ES21,796.39
2014,Hidroeléctrica,Watts per cápita,,,,ES21,796.55
2015,Hidroeléctrica,Watts per cápita,,,,ES21,797.03
2016,Hidroeléctrica,Watts per cápita,,,,ES21,795.59
2017,Hidroeléctrica,Watts per cápita,,,,ES21,793.91
2018,Hidroeléctrica,Watts per cápita,,,,ES21,791.16
2019,Hidroeléctrica,Watts per cápita,,,,ES21,786.96
2020,Hidroeléctrica,Watts per cápita,,,,ES21,789.29
2021,Hidroeléctrica,Watts per cápita,,,,ES21,791.71
2022,Hidroeléctrica,Watts per cápita,,,,ES21,786.71
2010,Todas las fuentes de energía renovable,Watts per cápita,,,Alegría-Dulantzi,Alegría-Dulantzi,818.15
2011,Todas las fuentes de energía renovable,Watts per cápita,,,Alegría-Dulantzi,Alegría-Dulantzi,794.48
2012,Todas las fuentes de energía renovable,Watts per cápita,,,Alegría-Dulantzi,Alegría-Dulantzi,801.21
2013,Todas las fuentes de energía renovable,Watts per cápita,,,Alegría-Dulantzi,Alegría-Dulantzi,782.35
2014,Todas las fuentes de energía renovable,Watts per cápita,,,Alegría-Dulantzi,Alegría-Dulantzi,793.23
2015,Todas las fuentes de energía renovable,Watts per cápita,,,Alegría-Dulantzi,Alegría-Dulantzi,800.47
2016,Todas las fuentes de energía renovable,Watts per cápita,,,Alegría-Dulantzi,Alegría-Dulantzi,786.73
2017,Todas las fuentes de energía renovable,Watts per cápita,,,Alegría-Dulantzi,Alegría-Dulantzi,777.03
2018,Todas las fuentes de energía renovable,Watts per cápita,,,Alegría-Dulantzi,Alegría-Dulantzi,793.5
2019,Todas las fuentes de energía renovable,Watts per cápita,,,Alegría-Dulantzi,Alegría-Dulantzi,791.4
2020,Todas las fuentes de energía renovable,Watts per cápita,,,Alegría-Dulantzi,Alegría-Dulantzi,817.77
2021,Todas las fuentes de energía renovable,Watts per cápita,,,Alegría-Dulantzi,Alegría-Dulantzi,819.59
2022,Todas las fuentes de energía renovable,Watts per cápita,,,Alegría-Dulantzi,Alegría-Dulantzi,837.38
2010,Todas las fuentes de energía renovable,Watts per cápita,,,Amurrio,Amurrio,166.47
2011,Todas las fuentes de energía renovable,Watts per cápita,,,Amurrio,Amurrio,177.02
2012,Todas las fuentes de energía renovable,Watts per cápita,,,Amurrio,Amurrio,175.98
2013,Todas las fuentes de energía renovable,Watts per cápita,,,Amurrio,Amurrio,174.61
2014,Todas las fuentes de energía renovable,Watts per cápita,,,Amurrio,Amurrio,178.04
2015,Todas las fuentes de energía renovable,Watts per cápita,,,Amurrio,Amurrio,177.71
2016,Todas las fuentes de energía renovable,Watts per cápita,,,Amurrio,Amurrio,193.59
2017,Todas las fuentes de energía renovable,Watts per cápita,,,Amurrio,Amurrio,208.19
2018,Todas las fuentes de energía renovable,Watts per cápita,,,Amurrio,Amurrio,226.41
2019,Todas las fuentes de energía renovable,Watts per cápita,,,Amurrio,Amurrio,245.5
2020,Todas las fuentes de energía renovable,Watts per cápita,,,Amurrio,Amurrio,249.21
2021,Todas las fuentes de energía renovable,Watts per cápita,,,Amurrio,Amurrio,300.07
2022,Todas las fuentes de energía renovable,Watts per cápita,,,Amurrio,Amurrio,313.83
2010,Todas las fuentes de energía renovable,Watts per cápita,,,Aramaio,Aramaio,410.02
2011,Todas las fuentes de energía renovable,Watts per cápita,,,Aramaio,Aramaio,404.69
2012,Todas las fuentes de energía renovable,Watts per cápita,,,Aramaio,Aramaio,484.43
2013,Todas las fuentes de energía renovable,Watts per cápita,,,Aramaio,Aramaio,575.53
2014,Todas las fuentes de energía renovable,Watts per cápita,,,Aramaio,Aramaio,578.51
2015,Todas las fuentes de energía renovable,Watts per cápita,,,Aramaio,Aramaio,590.9
2016,Todas las fuentes de energía renovable,Watts per cápita,,,Aramaio,Aramaio,598.15
2017,Todas las fuentes de energía renovable,Watts per cápita,,,Aramaio,Aramaio,596.97
2018,Todas las fuentes de energía renovable,Watts per cápita,,,Aramaio,Aramaio,768.92
2019,Todas las fuentes de energía renovable,Watts per cápita,,,Aramaio,Aramaio,782.43
2020,Todas las fuentes de energía renovable,Watts per cápita,,,Aramaio,Aramaio,798.66
2021,Todas las fuentes de energía renovable,Watts per cápita,,,Aramaio,Aramaio,883.44
2010,Todas las fuentes de energía renovable,Watts per cápita,,,Artziniega,Artziniega,0.0
2011,Todas las fuentes de energía renovable,Watts per cápita,,,Artziniega,Artziniega,0.0
2012,Todas las fuentes de energía renovable,Watts per cápita,,,Artziniega,Artziniega,0.0
2013,Todas las fuentes de energía renovable,Watts per cápita,,,Artziniega,Artziniega,0.0
2014,Todas las fuentes de energía renovable,Watts per cápita,,,Artziniega,Artziniega,28.47
2015,Todas las fuentes de energía renovable,Watts per cápita,,,Artziniega,Artziniega,28.27
2016,Todas las fuentes de energía renovable,Watts per cápita,,,Artziniega,Artziniega,29.51
2017,Todas las fuentes de energía renovable,Watts per cápita,,,Artziniega,Artziniega,28.97
2018,Todas las fuentes de energía renovable,Watts per cápita,,,Artziniega,Artziniega,36.41
2019,Todas las fuentes de energía renovable,Watts per cápita,,,Artziniega,Artziniega,36.63
2020,Todas las fuentes de energía renovable,Watts per cápita,,,Artziniega,Artziniega,37.59
2021,Todas las fuentes de energía renovable,Watts per cápita,,,Artziniega,Artziniega,37.57
2022,Todas las fuentes de energía renovable,Watts per cápita,,,Artziniega,Artziniega,115.59
2010,Todas las fuentes de energía renovable,Watts per cápita,,,Ayala/Aiara,Ayala/Aiara,512.92
2011,Todas las fuentes de energía renovable,Watts per cápita,,,Ayala/Aiara,Ayala/Aiara,515.7
2012,Todas las fuentes de energía renovable,Watts per cápita,,,Ayala/Aiara,Ayala/Aiara,522.72
2013,Todas las fuentes de energía renovable,Watts per cápita,,,Ayala/Aiara,Ayala/Aiara,536.17
2014,Todas las fuentes de energía renovable,Watts per cápita,,,Ayala/Aiara,Ayala/Aiara,541.36
2015,Todas las fuentes de energía renovable,Watts per cápita,,,Ayala/Aiara,Ayala/Aiara,539.08
2016,Todas las fuentes de energía renovable,Watts per cápita,,,Ayala/Aiara,Ayala/Aiara,544.92
2017,Todas las fuentes de energía renovable,Watts per cápita,,,Ayala/Aiara,Ayala/Aiara,542.47
2018,Todas las fuentes de energía renovable,Watts per cápita,,,Ayala/Aiara,Ayala/Aiara,547.4
2019,Todas las fuentes de energía renovable,Watts per cápita,,,Ayala/Aiara,Ayala/Aiara,572.36
2020,Todas las fuentes de energía renovable,Watts per cápita,,,Ayala/Aiara,Ayala/Aiara,617.92
2021,Todas las fuentes de energía renovable,Watts per cápita,,,Ayala/Aiara,Ayala/Aiara,926.43
2022,Todas las fuentes de energía renovable,Watts per cápita,,,Ayala/Aiara,Ayala/Aiara,954.58
2010,Todas las fuentes de energía renovable,Watts per cápita,,,Baños de Ebro/Mañueta,Baños de Ebro/Mañueta,0.0
2011,Todas las fuentes de energía renovable,Watts per cápita,,,Baños de Ebro/Mañueta,Baños de Ebro/Mañueta,0.0
2012,Todas las fuentes de energía renovable,Watts per cápita,,,Baños de Ebro/Mañueta,Baños de Ebro/Mañueta,3.08
2013,Todas las fuentes de energía renovable,Watts per cápita,,,Baños de Ebro/Mañueta,Baños de Ebro/Mañueta,3.06
2014,Todas las fuentes de energía renovable,Watts per cápita,,,Baños de Ebro/Mañueta,Baños de Ebro/Mañueta,0.0
2015,Todas las fuentes de energía renovable,Watts per cápita,,,Baños de Ebro/Mañueta,Baños de Ebro/Mañueta,3.19
2016,Todas las fuentes de energía renovable,Watts per cápita,,,Baños de Ebro/Mañueta,Baños de Ebro/Mañueta,3.14
2017,Todas las fuentes de energía renovable,Watts per cápita,,,Baños de Ebro/Mañueta,Baños de Ebro/Mañueta,3.21
2018,Todas las fuentes de energía renovable,Watts per cápita,,,Baños de Ebro/Mañueta,Baños de Ebro/Mañueta,3.1
2019,Todas las fuentes de energía renovable,Watts per cápita,,,Baños de Ebro/Mañueta,Baños de Ebro/Mañueta,3.12
2020,Todas las fuentes de energía renovable,Watts per cápita,,,Baños de Ebro/Mañueta,Baños de Ebro/Mañueta,3.24
2021,Todas las fuentes de energía renovable,Watts per cápita,,,Baños de Ebro/Mañueta,Baños de Ebro/Mañueta,3.13
2022,Todas las fuentes de energía renovable,Watts per cápita,,,Baños de Ebro/Mañueta,Baños de Ebro/Mañueta,176.66
2010,Todas las fuentes de energía renovable,Watts per cápita,,,Zigoitia,Zigoitia,673.93
2011,Todas las fuentes de energía renovable,Watts per cápita,,,Zigoitia,Zigoitia,666.3
2012,Todas las fuentes de energía renovable,Watts per cápita,,,Zigoitia,Zigoitia,702.74
2013,Todas las fuentes de energía renovable,Watts per cápita,,,Zigoitia,Zigoitia,757.08
2014,Todas las fuentes de energía renovable,Watts per cápita,,,Zigoitia,Zigoitia,873.75
2015,Todas las fuentes de energía renovable,Watts per cápita,,,Zigoitia,Zigoitia,945.8
2010,Todas las fuentes de energía renovable,Watts per cápita,,,Elburgo/Burgelu,Elburgo/Burgelu,260.12
2011,Todas las fuentes de energía renovable,Watts per cápita,,,Elburgo/Burgelu,Elburgo/Burgelu,257.32
2012,Todas las fuentes de energía renovable,Watts per cápita,,,Elburgo/Burgelu,Elburgo/Burgelu,251.17
