Year,Fuente de energía renovable,Units,Territorio,Comarca,Municipio,GeoCode,Value
2011,Todas las fuentes de energía renovable,Watts per cápita,,,Okondo,Okondo,199.13
2012,Todas las fuentes de energía renovable,Watts per cápita,,,Okondo,Okondo,197.55
2013,Todas las fuentes de energía renovable,Watts per cápita,,,Okondo,Okondo,196.35
2014,Todas las fuentes de energía renovable,Watts per cápita,,,Okondo,Okondo,243.9
2015,Todas las fuentes de energía renovable,Watts per cápita,,,Okondo,Okondo,241.41
2016,Todas las fuentes de energía renovable,Watts per cápita,,,Okondo,Okondo,238.95
2017,Todas las fuentes de energía renovable,Watts per cápita,,,Okondo,Okondo,237.93
2018,Todas las fuentes de energía renovable,Watts per cápita,,,Okondo,Okondo,233.39
2019,Todas las fuentes de energía renovable,Watts per cápita,,,Okondo,Okondo,290.06
2020,Todas las fuentes de energía renovable,Watts per cápita,,,Okondo,Okondo,299.92
2021,Todas las fuentes de energía renovable,Watts per cápita,,,Okondo,Okondo,373.71
2022,Todas las fuentes de energía renovable,Watts per cápita,,,Okondo,Okondo,370.53
2010,Todas las fuentes de energía renovable,Watts per cápita,,,Peñacerrada-Urizaharra,Peñacerrada-Urizaharra,201.34
2011,Todas las fuentes de energía renovable,Watts per cápita,,,Peñacerrada-Urizaharra,Peñacerrada-Urizaharra,204.08
2012,Todas las fuentes de energía renovable,Watts per cápita,,,Peñacerrada-Urizaharra,Peñacerrada-Urizaharra,197.88
2013,Todas las fuentes de energía renovable,Watts per cápita,,,Peñacerrada-Urizaharra,Peñacerrada-Urizaharra,197.18
2014,Todas las fuentes de energía renovable,Watts per cápita,,,Peñacerrada-Urizaharra,Peñacerrada-Urizaharra,212.77
2015,Todas las fuentes de energía renovable,Watts per cápita,,,Peñacerrada-Urizaharra,Peñacerrada-Urizaharra,200.0
2016,Todas las fuentes de energía renovable,Watts per cápita,,,Peñacerrada-Urizaharra,Peñacerrada-Urizaharra,200.72
2017,Todas las fuentes de energía renovable,Watts per cápita,,,Peñacerrada-Urizaharra,Peñacerrada-Urizaharra,198.58
2018,Todas las fuentes de energía renovable,Watts per cápita,,,Peñacerrada-Urizaharra,Peñacerrada-Urizaharra,292.68
2019,Todas las fuentes de energía renovable,Watts per cápita,,,Peñacerrada-Urizaharra,Peñacerrada-Urizaharra,291.66
2020,Todas las fuentes de energía renovable,Watts per cápita,,,Peñacerrada-Urizaharra,Peñacerrada-Urizaharra,261.68
